,PM1,PM2
200501,-6.32,0.60
200502,0.58,2.32
200503,-4.04,-1.12
200504,-6.27,-1.92
200505,7.79,3.74
200506,0.59,0.84
200507,8.00,4.20
200508,-3.06,-0.75
200509,0.19,2.86
200510,-4.69,-0.82
200511,6.34,4.30
200512,-1.81,-0.97
200601,6.46,2.99
200602,-0.31,-1.13
200603,5.00,1.49
200604,-1.69,1.54
200605,-8.43,-1.52
200606,-0.74,-0.49
200607,-5.90,1.25
200608,4.97,1.25
200609,1.42,3.10
200610,6.40,4.25
200611,3.70,1.03
200612,-2.42,2.83
200701,2.04,2.84
200702,-1.04,-1.57
200703,1.14,1.60
200704,3.85,2.62
200705,4.64,3.83
200706,0.22,-2.33
200707,-3.80,-4.84
200708,2.28,0.50
200709,4.12,4.35
200710,4.15,1.37
200711,-5.99,-4.20
200712,-0.10,-0.81
200801,-11.03,-4.92
200802,-2.08,-5.00
200803,0.09,-1.06
200804,4.99,4.11
200805,5.24,0.89
200806,-7.59,-8.16
200807,-3.10,3.40
200808,4.42,1.97
200809,-17.51,-5.26
200810,-21.31,-17.82
200811,-8.06,-11.80
200812,5.53,1.62
200901,-2.93,-13.77
200902,-7.98,-11.35
200903,7.44,10.01
200904,14.06,10.95
200905,5.36,5.32
200906,4.76,-1.36
200907,8.29,8.61
200908,-1.85,8.60
200909,6.81,4.41
200910,-3.72,-4.00
200911,6.17,7.43
200912,8.20,2.58
201001,-3.99,-2.88
201002,3.24,5.93
201003,9.12,7.13
201004,4.97,2.87
201005,-9.49,-8.32
201006,-5.53,-8.08
201007,9.65,7.29
201008,-7.00,-5.17
201009,18.28,7.99
201010,7.99,1.87
201011,4.18,-0.24
201012,6.23,10.61
201101,-0.65,3.14
201102,5.24,4.40
201103,3.72,0.38
201104,5.69,2.60
201105,-0.12,-3.18
201106,-3.27,-1.65
201107,-2.75,-3.25
201108,-8.39,-6.21
201109,-12.16,-6.37
201110,17.50,8.82
201111,-0.52,-1.13
201112,-1.27,3.22
201201,9.81,5.14
201202,4.18,3.28
201203,3.95,5.21
201204,-1.68,-1.36
201205,-7.39,-6.09
201206,4.43,2.85
201207,-1.54,0.79
201208,3.02,2.32
201209,3.25,3.96
201210,-5.34,-0.30
201211,1.58,0.18
201212,0.91,3.26
201301,7.45,5.93
201302,1.18,0.59
201303,7.06,3.83
201304,-0.75,1.23
201305,3.62,4.30
201306,-0.36,-2.46
201307,9.05,4.82
201308,-0.48,-4.38
201309,7.75,3.46
201310,3.73,4.70
201311,4.85,2.45
201312,3.81,2.41
201401,-1.80,-5.15
201402,6.31,5.27
201403,-4.93,3.88
201404,-3.88,-0.42
201405,1.56,2.65
201406,6.85,2.44
201407,-5.70,-0.24
201408,6.31,3.90
201409,-5.25,-2.53
201410,7.80,0.79
201411,3.58,-0.37
201412,0.38,0.68
201501,-2.40,-5.00
201502,9.25,4.75
201503,0.89,-0.98
201504,-3.35,1.28
201505,3.77,0.27
201506,1.13,-1.68
201507,2.03,0.27
201508,-9.19,-3.68
201509,-5.70,-1.40
201510,10.02,6.58
201511,3.46,1.67
201512,-2.82,-3.05
201601,-12.13,-4.86
201602,1.31,-0.53
201603,8.43,9.29
201604,-0.19,1.41
201605,3.90,0.42
201606,1.27,-1.68
201607,7.27,2.81
201608,-0.32,1.80
201609,2.94,-0.70
201610,-8.48,2.63
201611,5.80,9.11
201612,-0.69,2.78
201701,3.18,0.28
201702,5.06,3.42
201703,3.25,-1.97
201704,3.07,0.88
201705,1.76,-0.64
201706,1.31,0.84
201707,0.75,1.98
201708,0.04,-0.62
201709,4.99,1.95
201710,0.80,2.95
201711,3.23,2.76
201712,0.87,2.36
201801,5.77,5.69
201802,-4.32,-3.87
201803,0.76,-3.47
201804,-0.27,1.72
201805,9.05,0.86
201806,3.39,-0.49
201807,1.70,2.82
201808,7.82,-1.64
201809,-0.82,-0.13
201810,-16.34,-4.34
201811,1.79,2.70
201812,-12.65,-8.36
201901,14.39,7.47
201902,8.60,0.27
201903,1.62,-0.10
201904,2.68,6.46
201905,-8.66,-6.30
201906,9.34,6.25
201907,-0.52,1.33
201908,-1.31,-4.68
201909,-2.89,5.12
201910,3.88,0.94
201911,8.34,3.51
201912,2.33,4.42
